hour,timestamp,signal_count,max_score,avg_score,asset
10,1768471200.762006,7,80,54.29,R_10
11,1768474800.767713,26,80,40.96,R_10
12,1768478400.623094,59,85,28.1,R_10
12,1768478400.656712,50,87,44.68,R_10
14,1768485605.702378,19,85,49.21,R_10
15,1768489228.144095,72,105,44.64,R_10
16,1768492827.9328582,49,110,40.43,R_10
17,1768496400.5171158,37,109,41.16,R_10
18,1768500000.4481752,31,102,38.32,R_10
18,1768500000.758954,26,86,37.54,R_10
19,1768503600.282978,36,94,43.81,R_10
19,1768503663.010377,40,107,43.2,R_10
20,1768507200.257421,55,108,39.18,R_10
20,1768507200.737257,55,118,39.24,R_10
21,1768510882.0947971,61,115,45.05,R_10
21,1768511200.758987,62,115,44.61,R_10
21,1768511623.6999428,8,115,57.25,R_10
22,1768514400.325863,9,94,54.33,1HZ10V
23,1768518000.599023,60,96,47.23,1HZ10V
0,1768521615.881699,104,110,52.27,1HZ10V
1,1768525200.235507,102,116,66.69,1HZ10V
2,1768528800.2251232,118,113,43.35,1HZ10V
3,1768532400.4274461,123,114,52.61,1HZ10V
4,1768536000.0761652,116,106,45.97,1HZ10V
5,1768539600.964651,119,97,53.97,1HZ10V
6,1768546202.931231,18,101,65.17,1HZ10V
7,1768546800.78195,22,80,35.91,1HZ10V
7,1768546800.814562,2,45,45.0,1HZ10V
8,1768550400.14688,58,93,43.05,1HZ10V
8,1768550400.442518,116,94,51.05,1HZ10V
8,1768550400.447424,111,95,43.04,1HZ10V
8,1768550400.662695,65,93,48.85,1HZ10V
8,1768550400.743267,62,93,42.26,1HZ10V
8,1768550403.423564,4,45,45.0,1HZ10V
9,1768554005.7589738,59,87,43.08,1HZ10V
10,1768557600.613537,31,93,46.87,1HZ10V
11,1768561201.184014,155,117,46.46,1HZ10V
12,1768564800.1538088,65,89,46.09,1HZ10V
13,1768568400.456531,3,61,50.33,1HZ10V
13,1768568507.5775092,129,116,46.8,1HZ10V
14,1768572000.103644,106,88,39.86,1HZ10V
14,1768572000.85135,105,95,45.92,1HZ10V
14,1768572012.386987,96,101,30.72,1HZ10V
15,1768575601.1777768,11,80,43.73,1HZ10V
16,1768579200.859134,61,88,45.15,1HZ10V
17,1768582800.4269829,84,112,45.85,1HZ10V
18,1768586411.744496,155,115,46.06,1HZ10V
19,1768590062.261292,5,80,44.0,1HZ10V
20,1768593600.545682,50,80,30.1,1HZ10V
21,1768597200.734271,132,103,37.2,1HZ10V
22,1768620297.746092,72,102,39.99,1HZ10V
4,1768651386.889605,14,80,38.21,1HZ10V
4,1768651387.3569548,23,81,38.04,1HZ10V
13,1768656505.0027342,43,89,47.14,1HZ10V
21,1768683600.1576068,8,49,45.5,1HZ10V
21,1768683600.1860769,8,45,45.0,1HZ10V
22,1768687208.784896,105,118,42.06,1HZ10V
22,1768687217.1138701,105,117,39.97,1HZ10V
23,1768690800.130262,88,85,27.78,1HZ10V
23,1768690800.332266,88,93,28.77,1HZ10V
0,1768694400.5930161,87,114,55.09,1HZ10V
1,1768698000.10908,123,117,54.07,1HZ10V
2,1768701600.9860349,137,97,37.02,1HZ10V
3,1768705200.4888132,125,106,60.1,1HZ10V
4,1768708801.359356,35,100,47.71,1HZ10V
5,1768712400.317369,139,112,53.2,1HZ10V
6,1768716000.8653781,130,111,48.52,1HZ10V
7,1768720810.218037,46,105,67.65,1HZ10V
8,1768723200.885936,76,95,41.28,1HZ10V
8,1768723241.103255,73,103,39.78,1HZ10V
9,1768727701.055367,51,104,42.04,1HZ10V
9,1768742389.910902,57,111,35.63,1HZ10V
14,1768744800.388884,58,101,36.66,1HZ10V
14,1768744821.500837,52,103,40.9,1HZ10V
14,1768744894.540139,54,100,35.89,1HZ10V
15,1768748442.3675761,55,85,33.2,1HZ10V
15,1768748454.4381409,56,86,27.34,1HZ10V
15,1768748456.0913012,54,86,35.91,1HZ10V
