asset,pnl,result,balance,trade_id,timestamp
R_50,138.0,WIN,10362.5,303232723868,1767619894.273515
R_50,-155.44,LOSS,10207.06,303320912108,1767713494.024234
R_50,145.92,WIN,10352.98,303322242428,1767714798.806092
R_75,-0.42,LOSS,10352.56,303573407088,1767980070.970643
R_50,-155.29,LOSS,10197.27,303585752608,1767990394.380138
R_50,-152.96,LOSS,10044.31,303586443688,1767990919.166234
R_75,-0.35,LOSS,4.33,71621186081,1768067812.08417
R_75,-0.35,LOSS,4.33,71621186081,1768067814.301975
R_75,-0.35,LOSS,4.33,71621186081,1768067817.383025
R_75,-0.35,LOSS,4.33,71621186081,1768067823.734401
R_75,-0.35,LOSS,4.33,71621186081,1768067912.4988759
R_75,-0.35,LOSS,3.98,71623392921,1768077204.42004
R_75,-0.35,LOSS,3.98,71623392921,1768077206.587971
R_75,-0.35,LOSS,3.98,71623392921,1768077211.893145
R_75,-0.35,LOSS,3.98,71623392921,1768077233.2365599
R_75,-0.35,LOSS,3.98,71623392921,1768077289.687629
R_100,0.31,WIN,4.29,71625174181,1768086601.4516401
R_100,0.31,WIN,4.29,71625174181,1768086602.106117
R_100,0.31,WIN,4.29,71625174181,1768086602.115113
R_100,0.31,WIN,4.29,71625174181,1768086602.282472
R_100,0.31,WIN,4.29,71625174181,1768086602.468108
R_100,0.31,WIN,4.29,71625174181,1768086602.4734972
R_100,0.31,WIN,4.29,71625174181,1768086602.817605
R_100,0.31,WIN,4.29,71625174181,1768086607.503237
